$SKILL_DIR/scripts/conductor-inspector /path/to/your/project --all --short

🔍 Inspecting Conductor Workspace: /path/to/your/project
📦 Product: Initial Concept
STATUS      |  PROGRESS  | RATIO |  GHI  |    AGENT    | CHANGED     | TRACK ID                                           |  🌳 
===============================================================================================================================
IN_PROGRESS | █████░░░░░ |  9/19 |  #18  |  francesca  | 💻        8m | unified_incident_lifecycle_observability_20260607  |  🌳 
NEW         | ░░░░░░░░░░ |  0/17 |  #8   | antigravity | 💻        8m | multi_env_state_management_20260616                |    
COMPLETED   | ████░░░░░░ | 15/37 |  #28  |             | 💻       17m | pending_mutations_registry_20260602                |    
COMPLETED   | ██████████ | 11/11 |  #27  |             | 💻       21m | live_gcp_connectors_20260601                       |    
COMPLETED   | ██████████ | 24/24 |  #29  |             | 💻       21m | telegram_incident_creation_20260603                |    
COMPLETED   | ██████████ |   7/7 |       | antigravity | 💻       33m | remove_test_project_123_20260616                   |    
IN_PROGRESS | ████░░░░░░ |   3/8 |  #5   |             | 💻       43m | incident_status_taxonomy_20260603                  |    
NEW         | ░░░░░░░░░░ |  0/27 |  #26  |             | 🐙     2h26m | gcp_resource_discovery_20260601                    |    
COMPLETED   | ██████████ |   6/6 |  #7   |             | 🐙     2h29m | wiki_cross_linking_20260603                        |    
COMPLETED   | ██████████ | 10/10 |  #6   |             | 🐙     2h30m | incident_delete_archive_20260603                   |    
PENDING     | ░░░░░░░░░░ |  0/12 |  #9   |             | 💻     2h35m | graduate_local_state_cloud_20260604                |    
NEW         | ░░░░░░░░░░ |  0/12 |  #1   |             | 💻     2h35m | adk_observability_cloud_run_20260603               |    
COMPLETED   | ██████████ |   9/9 |  #10  |             | 💻     2h57m | better_wiki_edit_ui_20260604                       |    
COMPLETED   | ██████████ | 19/19 |       |             | 💻       11d | sre_extension_prompts_20260605                     |    
COMPLETED   | ██████████ |   9/9 |       |             | 💻       11d | sre_demo_domain_20260604                           |    
COMPLETED   | ██████████ |   7/7 |       |             | 💻       12d | ui_navigation_deep_reload_20260604                 |    
COMPLETED   | ██████████ | 19/19 |       |             | 💻       12d | project_explorer_ui_improvements_20260603          |    
COMPLETED   | ██████████ | 22/22 |       |             | 💻       12d | better_copilot_sidebar_20260603                    |    
COMPLETED   | ██████████ | 35/35 |       |             | 💻       14d | multi_view_project_explorer_20260602               |    
COMPLETED   | ██████████ | 37/37 |       |             | 💻       14d | cross_chat_statefulness_20260602                   |    
COMPLETED   | ██████████ | 19/19 |       |             | 💻       14d | cross_chat_mirroring_20260602                      |    
COMPLETED   | ██████████ |   8/8 |       |             | 💻       14d | sre_skills_integration_20260601                    |    
COMPLETED   | ██████████ | 11/11 |       |             | 💻       14d | comms_integration_20260601                         |    
COMPLETED   | ██████████ | 11/11 |       |             | 💻       15d | sre_dashboard_20260601                             |    
COMPLETED   | ██████████ |   8/8 |       |             | 💻       15d | mock_diagnostics_20260529                          |    
COMPLETED   | ██████████ | 19/19 |       |             | 💻       18d | core_ics_delegation_20260529                       |    
===============================================================================================================================
TOTAL       |            | 318/423 |       |             |             | 20 completed, 6 open (26 total)                    | 1 🌳
